問題,解答,イラストファイル名,イラスト内容説明
図の①は季節風の方位を八方位で書きなさい。,北西,季節風と季節_P1.png,日本列島における季節風の向きを示す図
図の②は季節風の方位を八方位で書きなさい。,南東,季節風と季節_P1.png,日本列島における季節風の向きを示す図
図の③は、季節を表す漢字で書きなさい。,冬,季節風と季節_P1.png,日本列島における季節風の向きを示す図
図の④は、季節を表す漢字で書きなさい。,夏,季節風と季節_P1.png,日本列島における季節風の向きを示す図
十日町市の降水量グラフを見て、冬の季節風と関係が深いのはどの時期の降水量ですか？,11月、12月、1月、2月などの冬の時期の降水量が多いこと,十日町市の降水量グラフ_P1.png,十日町市の月別降水量を示すグラフ
高知市の降水量グラフを見て、夏の季節風と関係が深いのはどの時期の降水量ですか？,6月、7月、8月、9月などの夏の時期の降水量が多いこと,高知市の降水量グラフ_P1.png,高知市の月別降水量を示すグラフ
十日町市と高知市に雪や雨が降る主な原因は何ですか？,海からの湿った季節風などの影響です。,,
この地図で示されている市は何市ですか？,十日町市,十日町市の位置_P2.png,新潟県内における十日町市の位置を示す地図
十日町市内を流れる日本一長い川は何ですか？,信濃川,十日町市の位置_P2.png,新潟県内の十日町市の位置と信濃川を示す地図
雪国で家を守る工夫は何ですか？,太い柱と厚い壁を使って重い雪にたえられるようにする、屋根のかたむきを急にして雪をつもりにくくする、屋根の雪を溶かす装置をつける、などです。,十日町市のくらし_家_P2.png,雪国の住宅の様子と工夫を示すイラスト
十日町市で道路を雪から守る方法を説明しなさい。,道路の中央に消雪パイプを設置し、そこから地下水を吹き出させて雪を溶かしています。,十日町市のくらし_道路_P2.png,雪国の道路で消雪パイプが使われている様子を示すイラスト
雪はスキー場以外に、どのような形で利用されていますか。2つ答えなさい。,雪どけ水はダムに蓄えられ発電などに使われる、土にしみこんで地下水となり家庭や工場などで利用される、米づくりに利用される,,
この地図で示されている平野は何ですか？,高知平野,高知平野の位置_P2.png,四国地方における高知平野の位置を示す地図
高知平野がある高知県の県庁所在地は何市ですか？,高知市,,
高知平野では昔、1年に何回米をつくっていましたか？,2回,,
現在の高知平野では、どのような農作物の栽培が中心ですか？,野菜の栽培が中心です。,高知平野の野菜_P2.png,高知平野で栽培される野菜のイラスト
高知平野で野菜を高い値段で売るために、どのような時期に出荷するようにしていますか？,ほかの地域であまりつくれない時期に出荷しています。,,
